id,blocker_kind,file,line,section,severity,source_phase,runtime_status,owning_pack,row_class_or_scope,execution_context,assertion,missing_evidence,evidence_artifact_status,evidence_posture,message
"solo_deadline_countdown_renders_in_user_timezone","runtime_evidence","Sourcera_Master_Spec.md","71765","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","14.4 (v7.1.1 D-V711-009 amendment)","spec_binding_pending_pack_m11_3","m11_3","Buyer Workspace Solo surface deadline-countdown render tests.","Buyer Workspace Solo surface deadline-countdown render tests.","When `Workspace.evaluation_owner_mode=solo`, the single deadline countdown MUST render the next phase-bound deadline in `User.timezone` with fallback to `Org.timezone`, locale formatting per §41, and the user's 24h-vs-12h preference.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",".github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
"solo_mode_team_to_solo_blocked_with_stakeholders","runtime_evidence","Sourcera_Master_Spec.md","71766","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","14.4","spec_binding_pending_pack_m11_3","m11_3","Workspace `evaluation_owner_mode` mutation handler.","Workspace `evaluation_owner_mode` mutation handler.","A `team → solo` transition request MUST be rejected with HTTP 422 and `evaluation_owner_mode_team_to_solo_blocked_stakeholders_present` (Appendix I — Phase 14.14) when the Workspace has any non-guest stakeholder member.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",".github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
"solo_mode_chip_ribbon_suppression_buyer","runtime_evidence","Sourcera_Master_Spec.md","71767","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","14.4","spec_binding_pending_pack_m11_3","m11_3","Buyer Workspace surface tests.","Buyer Workspace surface tests.","When `Workspace.evaluation_owner_mode=solo`, the §3.3.1 13-phase chip ribbon MUST NOT render; the §5.2.19 PipelineSurface 4-step bar MUST render; this MUST hold regardless of plan tier.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",".github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
"console_bridge_no_defense_view_event_kinds","runtime_evidence","Sourcera_Master_Spec.md","71769","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","14.5 [V11]","spec_binding_pending_pack_m11_3","m11_3","`Sourcera_Master_Spec.md` §4.7.1 Console Bridge Event `event_kind` enum (spec-side, PR-lint); Console Bridge Event apply-handler registry (runtime, deploy-validator); webhook subscription registry (runtime, deploy-validator). Sibling-scope harmonized with `console_bridge_no_dsar_event_kinds`, `console_bridge_no_group_event_kinds`, `console_bridge_no_dsar_v9_event_kinds` per D-11V-002 remediation.","`Sourcera_Master_Spec.md` §4.7.1 Console Bridge Event `event_kind` enum (spec-side, PR-lint); Console Bridge Event apply-handler registry (runtime, deploy-validator); webhook subscription registry (runtime, deploy-validator). Sibling-scope harmonized with `console_bridge_no_dsar_event_kinds`, `console_bridge_no_group_event_kinds`, `console_bridge_no_dsar_v9_event_kinds` per D-11V-002 remediation.","No Console Bridge Event `event_kind` value MAY name a Defense-View-Domain event (`defense_view.generated`, `defense_view.regenerated`, `defense_view.regenerated_due_to_source_change`). Webhook subscription registration with `defense_view.*` event kinds from a seller-console session MUST return HTTP 404. Spec-side §4.7.1 enum addition AND runtime registry addition both trigger.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",".github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
"webhook_payload_no_selection_record_body","runtime_evidence","Sourcera_Master_Spec.md","71770","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","14.5","spec_binding_pending_pack_m11_3","m11_3","Webhook delivery serializers for `defense_view.generated` / `defense_view.regenerated`.","Webhook delivery serializers for `defense_view.generated` / `defense_view.regenerated`.","Webhook payload MUST carry only metadata (`defense_view_id`, `workspace_id`, `selection_record_id`, `selection_record_hash`, `confidence_score`, `aioperation_id`, `generated_at`); MUST NOT carry `recommendation_text`, `top_reasons`, `material_risks`, `cfo_summary_md`, or any synthesized text content.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",".github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
"defense_view_regeneration_throttle_5min","runtime_evidence","Sourcera_Master_Spec.md","71772","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","14.5","spec_binding_pending_pack_m11_3","m11_3","Defense View regeneration handler.","Defense View regeneration handler.","A second `POST .../defense-view/regenerate` within 5 minutes of the prior regeneration MUST be rejected with HTTP 429 `regeneration_throttle`.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",".github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
"pipeline_surface_compression_seller_always_compressed","runtime_evidence","Sourcera_Master_Spec.md","71778","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","14.6","spec_binding_pending_pack_m11_3","m11_3","Seller-console rendering tests.","Seller-console rendering tests.","No Seller-console code path MAY render the 13-phase chip ribbon (§3.3.1) under any plan tier or state.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",".github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
"pipeline_surface_compression_soft_gate_solo_only","runtime_evidence","Sourcera_Master_Spec.md","71779","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","14.6","spec_binding_pending_pack_m11_3","m11_3","Phase Advancement handler tests.","Phase Advancement handler tests.","The soft-gate toast path MUST be reachable only from the four-step compressed bar AND only when `softGatesEnabled=true`. Hard-gate modal path remains the §10.16 Team-Mode default.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",".github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
"seller_maya_solo_free_copy_string_lint","runtime_evidence","Sourcera_Master_Spec.md","71788","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","14.8 [V11]","spec_binding_pending_pack_m11_3","m11_3","Seller surfaces under `plan_tier ∈ {seller_free, seller_solo}`.","Seller surfaces under `plan_tier ∈ {seller_free, seller_solo}`.","Copy strings ""Pending review"", ""AIWallet"", ""AIOperation"", ""match score number"", ""rejected (cost-priced)"", ""value_price_cents"", ""engine-absorbed envelope"" MUST NOT render in any Solo / Free seller surface.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",".github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
"seller_maya_chip_list_auto_publish_state_machine","runtime_evidence","Sourcera_Master_Spec.md","71789","M.5.4 Catalog index {#m-5-4-catalog-index}","blocker","14.8 [V11]","spec_binding_pending_pack_m11_3","m11_3","CapabilityDeclaration write handler tests.","CapabilityDeclaration write handler tests.","A `(none) → published` transition under `pending_review_reason = solo_free_auto_publish` MUST be permitted only when the four §4.4.4 row 7a preconditions hold (`kb_to_capability_suggestion` origin, `plan_tier=seller_free OR seller_solo`, evidence-overlap rule passes, no SIM quarantine on `canonical_capability_id`). Failure of any precondition routes through the existing `(none) → pending_review → published` path.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",".github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing","required_product_runtime_evidence_missing","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
