execution_group,gate_id,release_evidence_lane,evidence_posture,required_execution,missing_evidence
"Buyer and Solo workspaces, scoring, Defense View, and Pulse","solo_deadline_countdown_renders_in_user_timezone","m11_3","required_product_runtime_evidence_missing","Buyer Workspace Solo surface deadline-countdown render tests.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Buyer and Solo workspaces, scoring, Defense View, and Pulse","solo_mode_team_to_solo_blocked_with_stakeholders","m11_3","required_product_runtime_evidence_missing","Workspace `evaluation_owner_mode` mutation handler.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Buyer and Solo workspaces, scoring, Defense View, and Pulse","solo_mode_chip_ribbon_suppression_buyer","m11_3","required_product_runtime_evidence_missing","Buyer Workspace surface tests.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Buyer and Solo workspaces, scoring, Defense View, and Pulse","console_bridge_no_defense_view_event_kinds","m11_3","required_product_runtime_evidence_missing","`Sourcera_Master_Spec.md` §4.7.1 Console Bridge Event `event_kind` enum (spec-side, PR-lint); Console Bridge Event apply-handler registry (runtime, deploy-validator); webhook subscription registry (runtime, deploy-validator). Sibling-scope harmonized with `console_bridge_no_dsar_event_kinds`, `console_bridge_no_group_event_kinds`, `console_bridge_no_dsar_v9_event_kinds` per D-11V-002 remediation.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Buyer and Solo workspaces, scoring, Defense View, and Pulse","defense_view_regeneration_throttle_5min","m11_3","required_product_runtime_evidence_missing","Defense View regeneration handler.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Buyer and Solo workspaces, scoring, Defense View, and Pulse","pipeline_surface_compression_seller_always_compressed","m11_3","required_product_runtime_evidence_missing","Seller-console rendering tests.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Buyer and Solo workspaces, scoring, Defense View, and Pulse","pipeline_surface_compression_soft_gate_solo_only","m11_3","required_product_runtime_evidence_missing","Phase Advancement handler tests.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Buyer and Solo workspaces, scoring, Defense View, and Pulse","workspace_pulse_health_persistence_contract","m11_3","required_product_runtime_evidence_missing","§4.3.22.2 entity writes, daily Pulse compute scheduler, Solo-mode suppression path, and threshold-event correlation.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Buyer and Solo workspaces, scoring, Defense View, and Pulse","pulse_digest_summary_firewall","m11_3","required_product_runtime_evidence_missing","runtime_test",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
"Buyer and Solo workspaces, scoring, Defense View, and Pulse","inbox_mutation_idempotency_contract","m11_3","required_product_runtime_evidence_missing","runtime_test",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration"
