gate_id,file,line,section,owning_pack,current_status,expected_artifact,message
solo_mode_engine_field_not_in_seller_serializers,Sourcera_Master_Spec.md,66694,M.5.4 Catalog index,m02_3,`spec_binding_pending_pack_m02_3`,tools/spec-lint/gates/solo_mode_engine_field_not_in_seller_serializers.ts,Runtime status is still spec_binding_pending_pack_m02_3; required artifact evidence not promoted. Checked: tools/spec-lint/gates/solo_mode_engine_field_not_in_seller_serializers.ts.
solo_deadline_countdown_renders_in_user_timezone,Sourcera_Master_Spec.md,66696,M.5.4 Catalog index,m11_3,`spec_binding_pending_pack_m11_3`,".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
solo_mode_team_to_solo_blocked_with_stakeholders,Sourcera_Master_Spec.md,66697,M.5.4 Catalog index,m11_3,`spec_binding_pending_pack_m11_3`,".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
solo_mode_chip_ribbon_suppression_buyer,Sourcera_Master_Spec.md,66698,M.5.4 Catalog index,m11_3,`spec_binding_pending_pack_m11_3`,".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
console_bridge_no_defense_view_event_kinds,Sourcera_Master_Spec.md,66700,M.5.4 Catalog index,m11_3,`spec_binding_pending_pack_m11_3`,".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
webhook_payload_no_selection_record_body,Sourcera_Master_Spec.md,66701,M.5.4 Catalog index,m11_3,`spec_binding_pending_pack_m11_3`,".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
defense_view_regeneration_throttle_5min,Sourcera_Master_Spec.md,66703,M.5.4 Catalog index,m11_3,`spec_binding_pending_pack_m11_3`,".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
pipeline_surface_compression_seller_always_compressed,Sourcera_Master_Spec.md,66709,M.5.4 Catalog index,m11_3,`spec_binding_pending_pack_m11_3`,".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
pipeline_surface_compression_soft_gate_solo_only,Sourcera_Master_Spec.md,66710,M.5.4 Catalog index,m11_3,`spec_binding_pending_pack_m11_3`,".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
eval_vertical_eval_starter_coverage,Sourcera_Master_Spec.md,66712,M.5.4 Catalog index,m02_3,`spec_binding_pending_pack_m02_3`,tools/spec-lint/gates/eval_vertical_eval_starter_coverage.ts,Runtime status is still spec_binding_pending_pack_m02_3; required artifact evidence not promoted. Checked: tools/spec-lint/gates/eval_vertical_eval_starter_coverage.ts.
