id,file,line,section,severity,source_phase,runtime_status,owning_pack,row_class_or_scope,assertion,missing_evidence,evidence_artifact_status,message
solo_deadline_countdown_renders_in_user_timezone,Sourcera_Master_Spec.md,67091,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,14.4 (v7.1.1 D-V711-009 amendment),`spec_binding_pending_pack_m11_3`,m11_3,Buyer Workspace Solo surface deadline-countdown render tests.,"When `Workspace.evaluation_owner_mode=solo`, the single deadline countdown MUST render the next phase-bound deadline in `User.timezone` with fallback to `Org.timezone`, locale formatting per §41, and the user's 24h-vs-12h preference.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
solo_mode_team_to_solo_blocked_with_stakeholders,Sourcera_Master_Spec.md,67092,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,14.4,`spec_binding_pending_pack_m11_3`,m11_3,Workspace `evaluation_owner_mode` mutation handler.,A `team → solo` transition request MUST be rejected with HTTP 422 and `evaluation_owner_mode_team_to_solo_blocked_stakeholders_present` (Appendix I — Phase 14.14) when the Workspace has any non-guest stakeholder member.,".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
solo_mode_chip_ribbon_suppression_buyer,Sourcera_Master_Spec.md,67093,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,14.4,`spec_binding_pending_pack_m11_3`,m11_3,Buyer Workspace surface tests.,"When `Workspace.evaluation_owner_mode=solo`, the §3.3.1 13-phase chip ribbon MUST NOT render; the §5.2.19 PipelineSurface 4-step bar MUST render; this MUST hold regardless of plan tier.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
console_bridge_no_defense_view_event_kinds,Sourcera_Master_Spec.md,67095,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,14.5 [V11],`spec_binding_pending_pack_m11_3`,m11_3,"`Sourcera_Master_Spec.md` §4.7.1 Console Bridge Event `event_kind` enum (spec-side, PR-lint); Console Bridge Event apply-handler registry (runtime, deploy-validator); webhook subscription registry (runtime, deploy-validator). Sibling-scope harmonized with `console_bridge_no_dsar_event_kinds`, `console_bridge_no_group_event_kinds`, `console_bridge_no_dsar_v9_event_kinds` per D-11V-002 remediation.","No Console Bridge Event `event_kind` value MAY name a Defense-View-Domain event (`defense_view.generated`, `defense_view.regenerated`, `defense_view.regenerated_due_to_source_change`). Webhook subscription registration with `defense_view.*` event kinds from a seller-console session MUST return HTTP 404. Spec-side §4.7.1 enum addition AND runtime registry addition both trigger.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
webhook_payload_no_selection_record_body,Sourcera_Master_Spec.md,67096,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,14.5,`spec_binding_pending_pack_m11_3`,m11_3,Webhook delivery serializers for `defense_view.generated` / `defense_view.regenerated`.,"Webhook payload MUST carry only metadata (`defense_view_id`, `workspace_id`, `selection_record_id`, `selection_record_hash`, `confidence_score`, `aioperation_id`, `generated_at`); MUST NOT carry `recommendation_text`, `top_reasons`, `material_risks`, `cfo_summary_md`, or any synthesized text content.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
defense_view_regeneration_throttle_5min,Sourcera_Master_Spec.md,67098,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,14.5,`spec_binding_pending_pack_m11_3`,m11_3,Defense View regeneration handler.,A second `POST .../defense-view/regenerate` within 5 minutes of the prior regeneration MUST be rejected with HTTP 429 `regeneration_throttle`.,".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
pipeline_surface_compression_seller_always_compressed,Sourcera_Master_Spec.md,67104,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,14.6,`spec_binding_pending_pack_m11_3`,m11_3,Seller-console rendering tests.,No Seller-console code path MAY render the 13-phase chip ribbon (§3.3.1) under any plan tier or state.,".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
pipeline_surface_compression_soft_gate_solo_only,Sourcera_Master_Spec.md,67105,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,14.6,`spec_binding_pending_pack_m11_3`,m11_3,Phase Advancement handler tests.,The soft-gate toast path MUST be reachable only from the four-step compressed bar AND only when `softGatesEnabled=true`. Hard-gate modal path remains the §10.16 Team-Mode default.,".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
seller_maya_solo_free_copy_string_lint,Sourcera_Master_Spec.md,67114,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,14.8 [V11],`spec_binding_pending_pack_m11_3`,m11_3,"Seller surfaces under `plan_tier ∈ {seller_free, seller_solo}`.","Copy strings ""Pending review"", ""AIWallet"", ""AIOperation"", ""match score number"", ""rejected (cost-priced)"", ""value_price_cents"", ""engine-absorbed envelope"" MUST NOT render in any Solo / Free seller surface.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
seller_maya_chip_list_auto_publish_state_machine,Sourcera_Master_Spec.md,67115,M.5.4 Catalog index {#m-5-4-catalog-index},blocker,14.8 [V11],`spec_binding_pending_pack_m11_3`,m11_3,CapabilityDeclaration write handler tests.,"A `(none) → published` transition under `pending_review_reason = solo_free_auto_publish` MUST be permitted only when the four §4.4.4 row 7a preconditions hold (`kb_to_capability_suggestion` origin, `plan_tier=seller_free OR seller_solo`, evidence-overlap rule passes, no SIM quarantine on `canonical_capability_id`). Failure of any precondition routes through the existing `(none) → pending_review → published` path.",".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration",.github/workflows/deploy-validator.yml:missing; .github/workflows/test-strategy.yml:missing; convex/deploy_validators:missing; tests/integration:missing,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
