id,file,line,section,pack,runtime_status,checked_artifacts,message
solo_mode_engine_field_not_in_seller_serializers,Sourcera_Master_Spec.md,66627,M.5.4 Catalog index,m02_3,spec_binding_pending_pack_m02_3,tools/spec-lint/gates/solo_mode_engine_field_not_in_seller_serializers.ts,Runtime status is still spec_binding_pending_pack_m02_3; required artifact evidence not promoted. Checked: tools/spec-lint/gates/solo_mode_engine_field_not_in_seller_serializers.ts.
solo_deadline_countdown_renders_in_user_timezone,Sourcera_Master_Spec.md,66629,M.5.4 Catalog index,m11_3,spec_binding_pending_pack_m11_3,".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
solo_mode_team_to_solo_blocked_with_stakeholders,Sourcera_Master_Spec.md,66630,M.5.4 Catalog index,m11_3,spec_binding_pending_pack_m11_3,".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
solo_mode_chip_ribbon_suppression_buyer,Sourcera_Master_Spec.md,66631,M.5.4 Catalog index,m11_3,spec_binding_pending_pack_m11_3,".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
console_bridge_no_defense_view_event_kinds,Sourcera_Master_Spec.md,66633,M.5.4 Catalog index,m11_3,spec_binding_pending_pack_m11_3,".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
webhook_payload_no_selection_record_body,Sourcera_Master_Spec.md,66634,M.5.4 Catalog index,m11_3,spec_binding_pending_pack_m11_3,".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
defense_view_regeneration_throttle_5min,Sourcera_Master_Spec.md,66636,M.5.4 Catalog index,m11_3,spec_binding_pending_pack_m11_3,".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
pipeline_surface_compression_seller_always_compressed,Sourcera_Master_Spec.md,66642,M.5.4 Catalog index,m11_3,spec_binding_pending_pack_m11_3,".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
pipeline_surface_compression_soft_gate_solo_only,Sourcera_Master_Spec.md,66643,M.5.4 Catalog index,m11_3,spec_binding_pending_pack_m11_3,".github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration","Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
eval_vertical_eval_starter_coverage,Sourcera_Master_Spec.md,66645,M.5.4 Catalog index,m02_3,spec_binding_pending_pack_m02_3,tools/spec-lint/gates/eval_vertical_eval_starter_coverage.ts,Runtime status is still spec_binding_pending_pack_m02_3; required artifact evidence not promoted. Checked: tools/spec-lint/gates/eval_vertical_eval_starter_coverage.ts.
