gate_id,line,section,anchor,runtime_status,owning_pack,missing_evidence,message
solo_deadline_countdown_renders_in_user_timezone,66782,,,spec_binding_pending_pack_m11_3,m11_3,,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
solo_mode_team_to_solo_blocked_with_stakeholders,66783,,,spec_binding_pending_pack_m11_3,m11_3,,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
solo_mode_chip_ribbon_suppression_buyer,66784,,,spec_binding_pending_pack_m11_3,m11_3,,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
console_bridge_no_defense_view_event_kinds,66786,,,spec_binding_pending_pack_m11_3,m11_3,,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
webhook_payload_no_selection_record_body,66787,,,spec_binding_pending_pack_m11_3,m11_3,,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
defense_view_regeneration_throttle_5min,66789,,,spec_binding_pending_pack_m11_3,m11_3,,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
pipeline_surface_compression_seller_always_compressed,66795,,,spec_binding_pending_pack_m11_3,m11_3,,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
pipeline_surface_compression_soft_gate_solo_only,66796,,,spec_binding_pending_pack_m11_3,m11_3,,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
seller_maya_solo_free_copy_string_lint,66805,,,spec_binding_pending_pack_m11_3,m11_3,,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
seller_maya_chip_list_auto_publish_state_machine,66806,,,spec_binding_pending_pack_m11_3,m11_3,,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
seller_maya_match_score_three_label_compression,66807,,,spec_binding_pending_pack_m11_3,m11_3,,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
solo_charge_kind_registered,66810,,,spec_binding_pending_pack_m24_3,m24_3,,"Runtime status is still spec_binding_pending_pack_m24_3; required artifact evidence not promoted. Checked: .github/workflows/billing-runtime.yml, tests/billing, convex/deploy_validators."
solo_dual_console_independent_invoicing,66811,,,spec_binding_pending_pack_m11_3,m11_3,,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
solo_plan_change_console_isolation,66812,,,spec_binding_pending_pack_m11_3,m11_3,,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
aiwallet_response_excludes_solo_envelope,66813,,,spec_binding_pending_pack_m11_3,m11_3,,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
solo_subscription_blocks_per_charge,66814,,,spec_binding_pending_pack_m11_3,m11_3,,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
solo_engine_metering_parity,66817,,,spec_binding_pending_pack_m11_3,m11_3,,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
solo_telemetry_no_customer_routing,66818,,,spec_binding_pending_pack_m11_3,m11_3,,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
solo_throttling_class_change_takes_effect_at_next_envelope_rollover,66821,,,spec_binding_pending_pack_m11_3,m11_3,,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
solo_envelope_per_console_isolation,66822,,,spec_binding_pending_pack_m11_3,m11_3,,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
solo_envelope_throttling_targets_low_priority_background_only,66824,,,spec_binding_pending_pack_m11_3,m11_3,,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
console_isolation_violation_no_data_path_use,66835,,,spec_binding_pending_pack_m11_3,m11_3,,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
vendor_opt_out_capability_layer_enforcement,66836,,,spec_binding_pending_pack_m11_3,m11_3,,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
audit_event_hash_chain_full_corpus_coverage,66872,,,spec_binding_pending_pack_m21_3,m21_3,,"Runtime status is still spec_binding_pending_pack_m21_3; required artifact evidence not promoted. Checked: .github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics."
audit_event_break_glass_integrity_scan_triggered,66873,,,spec_binding_pending_pack_m21_3,m21_3,,"Runtime status is still spec_binding_pending_pack_m21_3; required artifact evidence not promoted. Checked: .github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics."
auth_audit_event_emission_completeness,66874,,,spec_binding_pending_pack_m11_3,m11_3,,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
dsar_cascade_residency_partition_isolation,66875,,,spec_binding_pending_pack_m02_3,m02_3,tools/spec-lint/gates/dsar_cascade_residency_partition_isolation.ts,Runtime status is still spec_binding_pending_pack_m02_3; required artifact evidence not promoted. Checked: tools/spec-lint/gates/dsar_cascade_residency_partition_isolation.ts.
dsar_manifestly_unfounded_rejection_audit_emission,66880,,,spec_binding_pending_pack_m11_3,m11_3,,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
cross_org_guest_sso_bypass_blocked,66881,,,spec_binding_pending_pack_m11_3,m11_3,,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
workos_raw_attributes_not_consumed,66890,,,spec_binding_pending_pack_m02_3,m02_3,tools/spec-lint/gates/workos_raw_attributes_not_consumed.ts,Runtime status is still spec_binding_pending_pack_m02_3; required artifact evidence not promoted. Checked: tools/spec-lint/gates/workos_raw_attributes_not_consumed.ts.
workos_predefined_attributes_consumed,66891,,,spec_binding_pending_pack_m11_3,m11_3,,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
workos_groups_api_membership_consistency,66892,,,spec_binding_pending_pack_m11_3,m11_3,,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
workos_directory_group_role_assignment_precedence,66893,,,spec_binding_pending_pack_m11_3,m11_3,,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
dsar_cascade_aggregate_recompute_synchronous,66900,,,spec_binding_pending_pack_m11_3,m11_3,,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
dsar_cascade_aggregate_recompute_suppression_completeness,66901,,,spec_binding_pending_pack_m11_3,m11_3,,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
dsar_cascade_aggregate_recompute_backstop_drift,66902,,,spec_binding_pending_pack_m21_3,m21_3,,"Runtime status is still spec_binding_pending_pack_m21_3; required artifact evidence not promoted. Checked: .github/workflows/marketplace-runtime.yml, convex/deploy_validators, tests/marketplace, tests/analytics."
dsar_cascade_bridge_payload_body_pii_sweep_completeness,66903,,,spec_binding_pending_pack_m11_3,m11_3,,"Runtime status is still spec_binding_pending_pack_m11_3; required artifact evidence not promoted. Checked: .github/workflows/deploy-validator.yml, .github/workflows/test-strategy.yml, convex/deploy_validators, tests/integration."
